管理番号,作家,間口,奥行,高さ,タイトル,価格,本文,"本文
3-22-062,小出松寿作,70,40,36,衣裳着親王飾りセット一式,"255,200",小出松寿のお雛様は優雅さと気品を兼ね備えた極上の逸品です。紫のお殿様に赤いお姫様には丸紋の古典文様が連なっています。「絵羽（えば）あわせ」といってお殿様の胸元の柄を型で合わせて裁断し縫製しているのでできあがりの装束の美しさを効果的に演出することができます。,128,,,,
3-22-090,小出松寿作,60,33,30,衣裳着親王飾りセット一式,"250,800",お殿様とお姫様の衣裳は共柄の色違いになっています。花柄の手刺繍を施した屏風にはＬＥＤの間接照明が仕込まれていてモダンテイストが人気です。屏風と飾り台は木目調になっているためモダンなリビングにも合わせやすいセットです。,108,,,,
3-22-228,小出松寿作,50,31,49,"衣裳着金彩京刺繍親王収納飾りセット一式
※つるし飾りと名前札は別売になります。
収納","251,900",コンパクトサイズですが金彩京刺繍を施した絢爛豪華なお雛様です。贅沢に加工を施した衣裳は強烈なインパクトがあります。前飾りにはカップに入ったかわいらしいウサギをセットしました。収納箱が付いているので片づける際も１個にまとまるのでとても便利です。,121,,,,
3-22-218,小出松寿作,60,38,27,"衣裳着令和即位雛親王飾りセット一式
高級会津塗り","260,700",品質の高さが自慢の会津塗りの飾り台とうさぎの蒔絵が可愛い屏風を小出松寿が手掛けた令和即位雛に組み合わせました。両サイドに添えられた紅白梅は蚕の繭を原料にしてつくられた高級品です。前飾りとして置かれた貝桶はシンプルでありながらバランスの取れた存在になっています。,130,,,,
3-22-212,小出松寿作,70,40,36,衣裳着親王飾りセット一式,"268,400",春の息吹を感じさせてくれる若草色とピンクの衣裳がかわいらしいお雛様です。金沢箔屏風は高級感漂います。前飾りには本金蒔絵を施した貝桶が付き、両サイドに配置された花は高級繭玉紅白梅がセットされています。行灯の灯りがお人形を優しく照らしてくれます。,121,,,,
3-22-153,小出松寿作,60,33,30,"衣裳着京刺繍親王飾りセット一式
※羽子板と観葉植物は付きません。","272,800",クリーム色のお殿様とピンクのお姫様にはとっても豪華な刺繍が施され、そこにラインストーンが散りばめられています。間接照明が綺麗な屏風がお人形を優しく包みます。前飾りにはかわいらしいウサギを配置した人気のシリーズです。,107,,,,
3-22-015,小出松寿作,65,41,59,"衣裳着親王収納飾りセット一式
収納","280,500",紫雲鶴文様の衣裳を身にまとったお殿様と赤が鮮やかな丸紋様のお姫様。小出松寿のお人形は桐木胴を使用しているため型崩れしにくいつくりが特徴です。細部にまでこだわり抜いた職人技が際立ちます。,92,,,,
3-22-107,小出松寿作,67,35,55,"衣裳着京極手刺繍親王収納飾りセット一式
収納","323,400",小出松寿のお雛様は優雅さと気品を兼ね備えた極上の逸品です。その中でも手刺繍を施した極上仕上げのこのお衣裳は見る者を魅了します。前飾りにはシンプルなデザインの行器を、両サイドには蚕の繭からつくった紅白梅が添えられています。桜の刺繍が綺麗な屏風と収納飾り台がお雛様を優しく包み込んでいます。,143,,,,
3-22-109,小出松寿作,85,45,36,"衣裳着金彩京刺繍親王飾りセット一式
※つるし飾りと名入れ旗は別売になります。","387,200",一度見たら目が離せないほど美しい金彩京刺繍が豪華なお雛様です。これほど細かく贅沢に刺繍が施されているお人形にはなかなかお目にかかれません。幅８５cmと少し大き目に感じますが、写真のように飾り台が半分に分かれるので収納の際は小さくできるので便利です。,124,,,,
3-14-011,京都大橋弌峰作,70,40,36,"京びな黄櫨染親王飾りセット一式
※羽子板とつるし飾りは別売になります。","266,200",少し小ぶりなサイズのお雛様ですが大橋弌峰の卓越した技術が注ぎ込まれた人気の作品です。天皇陛下が御即位される際などの正式な場でお召しになられる黄櫨染の衣裳は特別人気です。,84,,,,
3-14-085,京都大橋弌峰作,80,40,39,京びな唐織帯地親王飾りセット一式,"282,700",今日の名工で知られる大橋弌峰は京都府伝統産業優秀技術者に認定されています。京人形司の中でも一目を置かれる存在です。お殿様の衣裳は着物の袋帯から仕立てた衣裳で立体的な風合いが特徴です。お姫様はオーソドックスな朱色を基調とした京都西陣織の金襴から作られています。,129,,,,
3-14-087,京都大橋弌峰作,55,35,44,"京びな大極殿束帯雛親王収納飾りセット一式
ヒノキ造り収納","348,700",シンプルですが紺と赤のお衣裳は格式高い色合いで人気です。このお雛様は朱雀大路大極殿束帯雛と名付けられ、大橋弌峰の卓越した技術が随所に散りばめられています。総ヒノキ造りの屏風と収納飾り台は箱根の伝統工芸である寄木細工が使われています。,116,,,,
3-14-070,京都大橋弌峰作,90,45,45,"京びな有職雛黄櫨染親王飾りセット一式
京都 川瀬健山頭
※藤沢本店のみ展示","357,500",殿様の袖口が蛤のような形になっていることから蛤袖と呼ばれ、大橋弌峰の代名詞となっております。さらに天皇陛下がお召しになる衣裳は別次元の風格と気品が感じられます。また、評価の高い川瀬健山製作のお顔は極上ランクに位置付けられており、気品と風格を感じる逸品です。,128,,,,
3-14-086,京都大橋弌峰作,65,41,59,"京びな有職麹塵親王収納飾りセット一式
※羽子板と観葉植物は付きません。","393,800",古来より皇室のみ用いることを許された衣裳が麹塵です。その最大の特徴は角度や鋼線の違いにより色が変わって見える色彩です。この麹塵の衣裳で仕立てられたお殿様は存在感があり、その堂々とした佇まいはまさしく京雛にふさわしいお雛様です。,113,,,,
3-27-043,雛聖作,51,57,58,衣裳着５人引出し収納飾りセット一式,"132,000",タンスの引出しを開けるようなイメージでセットするタイプの収納三段です。家具のようにしっかりした造りが特徴です。屏風・収納台はホワイトピンクで可愛さを表現していて春らしい装いに仕上がりました。,95,,,,
3-27-287,雛聖作,60,59,59,衣裳着５人引出し収納飾りセット一式,"178,200",タンスの引出しを開けるようなイメージでセットするタイプの収納三段です。家具のようにしっかりした造りが特徴です。オーク色の屏風と収納台には松に梅の刺繍が施され、落ち着いた雰囲気を演出しています。,96,,,,
3-27-044,雛聖作,60,59,59,"衣裳着５人引出し収納飾りセット一式
大人気
※つるし飾りセットと観葉植物は付きません。","181,500",タンスの引出しを開けるようなイメージでセットするタイプの収納三段です。家具のようにしっかりした造りが特徴です。ナチュラルテイストの屏風と収納台が人気です。収納三段シリーズの中では一番人気のセットです。,100,,,,
3-27-045,雛聖作,69,69,72,衣裳着５人引出し収納飾りセット一式,"187,000",タンスの引出しを開けるようなイメージでセットするタイプの収納三段です。家具のようにしっかりした造りが特徴です。ナチュラルテイストの屏風と収納台が人気です。振りの大きい殿・姫の衣裳には豪華な金彩刺繍が施されています。,107,,,,
3-27-200,寿翁作,60,51,63,"衣裳着５人引出し収納飾りセット一式
※天竜杉","221,100","天竜杉を使った華やかな三段収納飾りです。落ち着いた茶系の金襴衣裳のお殿様とピンクのきれいなお姫様をセットしました。屏風と収納台に施されたマリと桜の刺繍が可愛いと評判です。嫁入り道具が沢山ついているのでお子様にも喜んでいただけると思います。
",120,,,,
3-20-074,平安豊久作,70,66,70,"衣裳着５人焼桐収納飾りセット一式
※つるし飾りは別売になります。","249,700",桐の表面を焼いて木目を生かした収納飾りです。桐は軽くて移動しやすく吸湿性に優れた性質を持ち、お人形を保存するのにピッタリの素材です。夢桜と名付けた屏風と飾り台にデザインされた刺繍が人気です。,95,,,,
3-20-075,平安豊久作,69,70,80,"衣裳着５人引出し収納飾りセット一式
大人気","256,300",豪華桜の刺繍が特徴のお雛様です。お雛様はボリューム感のあるつくりが定評です。毎年人気の高いこの三段収納は当社のロングセラーのひとつです。桐の素材を多く使用しているため収納箱自体は比較的軽くつくられています。,103,,,,
3-23-007,平安豊久作,75,72,81,"衣裳着５人引出し収納飾りセット一式
人気作家","283,800","屏風と飾り台には格子細工がデザインされているので飾った時の高級感が違います。茶ぼかし塗りの引き出し収納です。お殿様とお姫様は綺麗なフォルムが人気の望月紀彦の作品です。どれをとっても高級感があり、飾り映えするセットです。
",110,,,,
3-20-053,平安豊久作,60,51,51,"衣裳着三段飾りセット一式
※名前旗とつるし飾りは別売になります。
※藤沢本店・横浜店のみ展示","187,000","木目を活かしたケヤキ調の新作三段飾りがデビューしました。平安豊久厳選の伝統的な衣裳は魅力的です。幅６０ｃｍのコンパクトサイズに加え段の立ち上がりを低くしてスタイリッシュで圧迫感の無い装いになりました。
",101,,,,
3-20-012,平安豊久作,85,79,88,"衣裳着５人三段飾りセット一式
大人気
※藤沢本店・町田店のみ展示","231,000",きれいな桜の刺繍を身にまとったお雛様をワインぼかしの屏風・台に組み合わせました。屏風と台にあしらった豪華な刺繍やこのセットのためだけに仕上げたお道具揃えなど見どころ満載です。見栄えがするこの三段セットは毎年人気のシリーズです。,113,,,,
3-20-014,望月紀彦作,90,85,90,"衣裳着５人三段飾りセット一式
人気作家
※本店・町田店のみ展示","283,800",天皇陛下のみに許された黄櫨染の衣裳を身にまとったお雛様です。上品な官女も華を添えています。木目を生かした家具調の見事な屏風と飾り台には雪輪とリボン桜の蒔絵がふんだんに使われています。見ごたえのある立派な三段飾りです。,108,,,,
3-20-049,平安豊久作,100,97,106,"衣裳着三段飾りセット一式
※藤沢本店のみ展示","297,000",落ち着いたダークワイン塗りの屏風と段に厳選した高級金襴を使用し一回り大きく仕上げたお人形をセットしました。屏風や段にあしらった桜の刺繍がとってもかわいい人気の三段飾りです。,86,,,,
3-22-170,小出松寿作,75,60,67,"衣裳着５人毛せん三段飾りセット一式
人気女流作家","353,100",桐木胴を用いたこのお殿様とお姫様は人形師小出松寿が丹精込めて創り上げたお雛様です。魔除けの意味合いがある赤い毛せんがお雛様らしい様相を呈しています。嫁入り道具にもこだわって製作したおすすめの一品です。,100,,,,
3-23-021,望月紀彦作,118,100,110,"衣裳着５人焼桐三飾りセット一式
※藤沢本店のみ展示","487,300",お人形のために厳選された京都西陣金襴衣裳をまとったボリューム感たっぷりの三飾りです。鉾山車風のお道具が豪華な印象を与えます。細部までこだわった職人の心意気が感じられる高級感漂う三段飾りセットです。,98,,,,
3-27-260,リヤドロ,40,22,25,春雛HINAMATSURI FESTIVAL,"261,360",お手入れも簡単で永くお楽しみいただけるリヤドロの雛人形。コンパクトなサイズ感ながらも愛らしく、豊かな表情や繊細な着物の柄が繊細に施されています。,72,,,,
3-27-261,リヤドロ,41,22,26,雛人形 60周年記念モデルHINA DOLLS 60TH ANNIVERSARY,"299,970",お手入れも簡単で永くお楽しみいただけるリヤドロの雛人形。子どもらしく愛らしい面持ちの中にもどこかやんごとない品を湛えた、小さな貴族のような雰囲気が感じられる作品です。2012年に迎えたリヤドロの創業60周年を記念したモデルです。,114,,,,
3-27-262,リヤドロ,41,22,26,雛人形(Beige ＆ Pink),"319,770",平安時代の穏やかな1日の情景が思い浮かぶような柔らかなベージュとピンクの着物をまとったお雛様です。 お手入れも簡単で永くお楽しみいただけるところがリヤドロ雛人形の人気の所以です。,89,,,,
3-27-263,リヤドロ,55,28,28,"雛人形 =Limited Edition=
HINA DOLLS FESTIVAL","359,370",日本の伝統に忠実に、識者の助言のもと、リヤドロアーティストが技術の粋を尽くして、完成させた雛人形。高貴さと気高さを表すように背筋を伸ばした親王、日本的な美を表現した内親王、着物などの細部に至るまでの表現は圧巻です。,107,,,,
3-01-317,真多呂作,27,16,22,"木目込本金高円立雛飾りセット一式
","70,400","伝統的工芸品として認定されている真多呂のコンパクトでシンプルな立雛です。
本金の金糸を使用した上質な仕上げが人気です。",59,,,,
3-17-065,真多呂作,36,21,37,"正絹煌珠雛親王収納飾りセット一式
収納","121,000",淡い色合いが綺麗な正絹衣裳のお雛様をシンプルな金屏風にセットしました。素材にこだわった伝統的工芸品指定のお雛様が魅力です。コンパクトでありながら高級感も兼ね備えたおすすめの一揃えです。,92,,,,
3-01-325,真多呂作,36,21,37,"正絹煌珠雛親王収納飾りセット一式
収納","124,300",伝統的工芸品として認定されている真多呂のコンパクトで飾りやすい収納飾りセットです。はにかんだお顔が特徴で、屏風にはしだれ桜の蒔絵が入っていてます。リビングに合わせやすい明るくモダンなセットです。,97,,,,
3-17-067,真多呂作,50,28,27,"黄櫨染雛親王飾りセット一式
※つるし飾りと名前札は別売になります。","137,500",黄櫨染（こうろぜん）とは、櫨（はぜ）の木の樹皮と蘇芳（すおう）の心材から作られる太陽の色を象徴する天皇陛下の第一礼装である黄櫨染御袍（こうろぜんのごほう）に使用される染色法およびその色名です。その格式高い衣裳で真多呂が丹精込めてつくりました。,121,,,,
3-01-324,真多呂作,33,18,33,"正絹鴨川雛親王飾りセット一式
福田屋オリジナル雛
※名入れ旗と観葉植物は付きません。
※サイズは作札を除く","140,800",上質な正絹衣裳のお雛様です。おしゃれな真鍮フレームで製作された飾り台に福田屋がオリジナルで製作していただいた真多呂の木目込人形をセットしました。奥行きが18cmと極小サイズですので飾る場所に困りません。,101,,,,
3-01-002,真多呂作,50,26,26,正絹翠華雛親王飾りセット一式,"148,500",紺と赤い衣裳が華やかな伝統的工芸品のお雛様です。黒塗りの飾り台に金屏風という飽きのこない定番スタイルは、シンプルだからこそお人形の高級感をいっそう引き立てます。ちりめん素材で製作した紅白梅がかわいく映ります。,104,,,,
3-17-066,真多呂作,50,28,44,"彩香雛親王収納飾りセット一式
※名入れ旗と観葉植物は付きません。
収納","162,800",上品な紫と赤の金襴衣裳が古典的で飽きの来ない定番のスタイルです。重厚感のある黒塗りの収納飾り台と金屏風が優美で高級感のある衣裳をより一層引き立てる親王飾りです。すべてのアイテムを飾り台にワンパックで収納できる便利なセットです。,113,,,,
3-01-323,真多呂作,50,30,27,"正絹慶寿雛親王飾りセット一式
福田屋オリジナル","171,600",ふくよかな顔立ちと正絹のしっとりとした輝きの衣裳が見る者を魅了します。何とも雅やかで品格にあふれた親王飾りです。江戸木目込の第一人者である真多呂は今も尚、進化を続けています。,87,,,,
3-01-322,真多呂作,50,31,49,"正絹清麗雛親王収納飾りセット一式
福田屋オリジナル
収納","198,000",紫地に雲鶴文様のお殿様の衣裳が人気です。雲鶴文様とは、流れる雲の中から鶴が飛翔する姿を表した文様です。平安時代から最高位の装束に使われた格式高い文様で、優れて抜きんでた人格を表し、幸福や長寿、富貴を授ける意味が込められています。木目込人形では珍しくお姫様の裾には引き腰が飾り付けられています。,146,,,,
3-01-321,真多呂作,60,32,31,"正絹帯地京極雛親王飾りセット一式
福田屋オリジナル
※羽子板と観葉植物は付きません。","205,700",着物の袋帯をお雛様の衣裳に仕立てた見ごたえのある木目込人形です。お殿様の衣裳は宝尽くし文様と言って宝珠、打ち出の小槌、隠れ笠、分銅など、縁起の良い宝物を集めて描いた吉祥文様です。富や繁栄、安全などを願う意味が込められています。,113,,,,
3-01-014,真多呂作,102,40,44,"帯地貴宝雛親王飾りセット一式
※藤沢本店のみ展示","275,000",貴重な宝と称されたこの貴宝雛は真多呂人形の卓越した技術の集大成とも呼べる作品のひとつです。金箔の屏風と猫足が特徴の飾り台がお雛様にとって最高の引き立て役になっています。,84,,,,
3-29-025,minicola作,29,29,26,"萌亜　親王飾りセット一式
※名入れ旗は別売になります。","99,000",目がぱっちりしたお顔が特徴のミニコラのお雛様は人気急上昇です。円形の照明がぼんぼりと屏風の二役を担っています。白とピンクの衣裳には桜と流水の刺繍が施されたモダンなお雛様です。大きくせり出した白梅が印象に残ります。,106,,,,
3-29-026,minicola作,42,17,21,"紗香　親王飾りセット一式
※つるし飾りは別売になります。","105,600",鞠は長い糸で作られることから「縁を結ぶ」「良縁に恵まれる」と考えられ、丸い形は「円満」「物事が丸く収まる」等、縁起のよい絵柄として古来より用いられてきました。ナチュラルな木台に高岡塗り白台を合わせた飾り台と白布地に高岡塗りの金箔プレートを組み合わせた屏風のセットです。,,,,,
3-29-015,minicola作,31,21,32,"結愛　親王収納飾りセット一式
収納","108,900",桜と鞠の模様が刺繍された淡く優しい色あいのお着物を着たお雛様です。３１ｃｍと超コンパクトでどこにでも飾れるようなサイズがうれしいですね！収納箱が付いていますのでひとつの箱に片付けられてとっても便利です。,101,,,,
3-29-028,minicola作,28,22,37,"千歳　親王収納飾りセット一式
※つるし飾りと観葉植物は付きません。
収納
","115,500",紺とピンクの衣裳のお人形が布地の白い屏風と相まって印象に残ります。収納タイプの飾り台は富山県特産の高岡塗りの職人が丹精込めて製作した伝統工芸品です。桜のモチーフが前面にかわいくデザインされていて人気です。,102,,,,
3-29-027,minicola作,40,25,21,来那　親王飾りセット一式,"132,000",小さな木目込親王飾りの来那（らな）。お揃いのおめでたい宝尽くし模様を刺繍したお着物です。国内最高水準のシルクでお姫様の下げ髪を結い上げ、くりりとしたかわいらしい目はガラスの目を使い、幼くあどけないかわいらしい表情のminicolaのお顔はすべて工房内で手作りしています。,135,,,,
3-29-024,minicola作,40,25,25,"寧々　５人飾りセット一式
※名入れ旗は別売になります。","133,100",白地に、お揃いのおめでたい宝尽くし模様を刺繍したお着物の殿・姫に三人官女を加えました。重厚感のあるナチュラルなオーク台と、LED照明が埋め込まれている屏風のセットです。 5人飾りでもはば４０ｃｍしかないコンパクト設計がうれしいですね。,117,,,,
3-29-019,minicola作,40,33,27,"美優　官女付１０人飾りセット一式
","196,900",キラキラした桜の花びら模様と、桜の刺繍をほどこしたお着物を着たお雛様です。ナチュラルな木目台に白塗台を組み合わせた飾り台としだれ桜がかわいい金屏風のセットです。三人官女に五人囃子も加わり、にぎやかな宴席が思い浮かびます。燭台はコードレスタイプの点灯可能なLED付きです。,135,,,,
3-03-233,"一秀作
",36,20,45,さくらさくら親王飾りセット一式,"83,600",パステルカラーの衣裳がかわいらしいデザイン性に富んだ親王飾りです。縦長の衝立上部には花飾りが取り付けられています。またお雛様は棚板の上に座っています。奥行きをとらないで飾れるので場所を選びません。,98,,,,
3-03-230,一秀作,35,31,24,桃山雛親王飾りセット一式,"88,000",落ち着いた色合いの衣裳と木目調の衝立・飾り台の雰囲気がマッチしていると大変ご好評をいただいていおります。衝立にはLEDライトが灯ります。幅３５ｃｍと大変コンパクトで置く場所が困ることもないはずです。,99,,,,
3-03-227,一秀作,50,30,23,桃山雛親王飾りセット一式,"99,000",お殿様とお姫様の衣裳は共布を使っています。入れ目のかわいいお顔が特徴です。古典とモダンが融合したセットです。シンプルに飾りたい方にはおすすめの一品です。,76,,,,
3-03-232,一秀作,50,30,26,桃山雛親王飾りセット一式,"101,200",入れ目のかわいいお顔が人気です。二枚折りの金屏風がお殿様とお姫様それぞれ独立して背後に置かれています。衣裳の優しい色合いにあわせて朱色の飾り台をセットしました。木目で統一した付属品は全体の雰囲気を壊しません。,104,,,,
3-03-013,一秀作,50,30,28,桃山雛印伝親王飾りセット一式,"132,000",印伝革で衣裳をつくった珍しいお雛様です。印伝とは鹿革をなめして染色し、漆で模様を描いた伝統的な革工芸品です。その名の由来はインドから伝わったためと言われています。落ち着いたトーンの衣裳に合わせて屏風・飾り台・油灯・お道具など木目調に統一したおしゃれなセットです。,131,,,,
3-03-231,一秀作,50,30,24,正絹桃山雛親王飾りセット一式,"133,100",絹織物で仕立てた高級品です。マーブル調の珍しい衣裳が魅力です。お顔の表情が優しく癒してくれます。屏風の向って左が金箔を使いモダンな印象を受けます。全体的に落ち着いたトーンでまとまっていますので永く飾っても飽きの来ないセットです。,114,,,,
3-03-219,一秀作,50,30,26,"花音雛親王飾りセット一式
伝統的工芸品
大人気","152,900",凝ったつくりの木目込人形には優雅さと気品が感じられます。繊維状の表面加工を施したを屏風を使い、大人になっても毎年飾りたくなるお雛様です。昨年度大変ご好評をいただいたセットです。,88,,,,
3-03-206,一秀作,60,30,33,"安土雛５人飾りセット一式
大人気","132,000",変則的に飾る５人揃いです。官女やお道具は飾り位置に決まりはないので写真のようにお飾りいただいても結構ですしご自分のお好みで楽しみながらお飾りください。毎年人気のセットです。,86,,,,
3-17-062,木村あやの作,50,30,50,"さくら雛５人収納飾りセット一式
収納
※名入れ旗は別売になります","149,600",パステル調のかわいいお衣裳と入れ目のお顔が人気です。木目を生かした収納箱とアイボリー塗装をした上蓋のコントラストが素敵です。蓋から上だけで飾るもよし、高さを設けたい場合は収納箱をセットしてお飾りください。,102,,,,
3-25-062,,43,30,30,衣裳着親王うさぎ官女付飾りレッドケース入り,"69,300",,,,,,
3-25-074,,39,29,28,衣裳着親王飾り木目調ケース入り,"74,800",,,,,,
3-25-072,,48,33,35,"衣裳着親王飾り格子付ケース入り
※つるし飾りは別売になります。","75,900",,,,,,
3-24-060,,43,28,29,衣裳着親王飾りワインレッドケース入り,"77,000",,,,,,
3-24-058,,43,30,28,衣裳着親王飾りリーフ型ケース入り,"79,200",,,,,,
3-24-057,,39,29,36,衣裳着黄櫨染立雛飾りケース入り,"81,400",,,,,,
3-27-231,,49,31,32,衣裳着親王飾りピンクぼかしケース入り,"81,400",,,,,,
3-24-055,,49,29,38,衣裳着立雛飾りオレンジケース入り,"82,500",,,,,,
3-25-073,,52,32,35,"衣裳着黄櫨染親王飾りケース入り
※名入れ旗は別売になります。","83,600",,,,,,
3-24-049,,49,33,36,衣裳着親王飾り六角ケース入り,"86,900",,,,,,
3-24-059,,49,25,33,衣裳着親王飾り木目調ケース入り,"86,900",,,,,,
3-27-221,,47,26,29,衣裳着親王飾り茶木目調アクリルケース入り,"88,000",,,,,,
3-27-230,,48,30,33,"衣裳着親王飾り木目調ケース入り
※つるし飾りは別売になります。","88,000",,,,,,
3-24-054,,48,25,34,"衣裳着親王飾りピンクぼかしケース入り
※名前旗は別売になります。","88,000",,,,,,
3-27-015,,45,30,33,衣裳着親王飾り茶木目調柄入りアクリルケース入り,"95,700",,,,,,
3-27-220,,43,27,40,衣裳着親王飾り木目調円型ケース入り,"97,900",,,,,,
3-27-014,,42,28,38,衣裳着親王飾り木目調円型ケース入り,"99,000",,,,,,
3-25-071,,52,33,35,衣裳着刺繍親王飾りケース入り,"101,200",,,,,,
3-27-105,,45,30,30,衣裳着親王飾り木目調ケース入り,"103,400",,,,,,
3-27-106,"ケース入りのサイズ

ケース外したサイズ","44
44","28
28","26
24","衣裳着親王飾り木目調アクリルケース入り
※かぶせてある透明ケースが外せます。","110,000",,,,,,
3-18-080,柴田家千代作,47,28,30,"葵平安雛ｵｰｶﾞﾝｼﾞｰアクリルケース入り
※つりし飾りと観葉植物は付きません。","162,800",,,,,,
3-18-079,柴田家千代作,47,28,30,葵刺繍親王飾りアクリルケース入り,"176,000",,,,,,
3-25-069,,57,37,41,衣裳着５人飾りワイン塗り六角ケース入り,"116,600",,,,,,
3-25-059,,63,42,45,衣裳着５人飾りワイン塗り六角ケース入り,"126,500",,,,,,
3-43-021,,,,25,"極小うさぎつるし雛木目台セット
（白木飾り台付）","18,700",卓上用のコンパクトなサイズのつるし飾りです。ひな人形の木目調屏風や飾り台に合わせやすく人気です。,,,,,
3-43-027,,,,26,"極小うさぎつるし雛ゆり木目台セット
（白木飾り台付）","18,700",卓上用のコンパクトなサイズのつるし飾りです。水引飾りと白うさぎが付いたかわいいセットです。,,,,,
3-43-026,,,,34,"ミニうさぎっ子つるし雛木目台セット
（白木飾り台付）","20,900",卓上用のコンパクトなサイズのつるし飾りです。かわいいパステル調の飾りがちりばめられていて華やかなセットです。,,,,,
3-43-200,,,,42,"キラキラうさぎつるし雛セット
（ピンク飾り台付）","20,900",うさぎの飾りとピンクのスタンドが可愛いつるし飾りです。リーズナブルな値段以上のお買い得品です。,,,,,
3-43-004,,,,49,"ほのか５連つるし雛セット
（飾り台付）","20,900",卓上用のコンパクトなサイズのつるし飾りですがボリュームのある飾りが特徴です。,,,,,
3-43-002,,,,42,"うさぎっ子赤つるし雛セット
（飾り台付）","20,900",卓上用のコンパクトなサイズのつるし飾りでうさぎがハートを抱えたりしてかわいいセットです。,,,,,
3-43-108,,,,42,"正絹 小雪ミニつるし雛セット
（飾り台付）","22,000",正絹の生地を使ったコンパクトサイズのつるし飾りです。当店では毎年人気の高いセットです。,,,,,
3-43-022,,,,34,"ミニうさぎっ子髪飾り付つるし雛セット
（飾り台付）","23,100",うさぎの飾りが印象的で笠の上に付いているつまみ細工の飾りは取り外して髪飾りとしてもお使いいただけます。,,,,,
3-43-028,,,,72,"親子つるし雛セット
（飾り台付）","38,500",高さが72ｃｍあり、飾りもがたくさん付いてにぎやかなつるし飾りです。三段飾りなど高さがあるひな人形と組み合わせると素敵です。,,,,,
3-43-001,,,,72,"うさぎ円つるし雛セット
（飾り台付）","41,800",うさぎの輪飾りが三輪付いていて見栄えのするつるし雛です。,,,,,
"3-43-105
3-43-291
",,,,125,"桜寿（中）つるし雛
飾り台（小）","28,600
18,700",高級感とボリュームがある床から飾るタイプのつるし雛でセットです。,,,,,
"3-43-106
3-43-292
",,,,172,"桜寿（大）つるし雛
飾り台（中）","49,500
23,100",外枠70体と中枠25体で構成されている二連型で迫力のつるし雛セットです。,,,,,
,,,,,名入れ旗は板倉・ＨＢマター,,,,,,,
3-41-605,,,,7,名前・生年月日入りもなか梅プリント,"8,470",,,,,,
3-41-504,,,,15,"名入れ焼文字レーザー加工白木お祝いプレート　
楽しい雛まつり　オルゴール付","6,600",,,,,,
3-41-503,,,,15,"名前・生年月日入り焼文字レーザー加工白木お祝いプレート　
オルゴール付","8,800",,,,,,
3-41-901,,,,26,名入れ旗 木製名前旗,"12,100",,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
